Species,Predicted mass (kg),Ref mass (kg),% Error
H,1.6573362031770725e-27,1.6735576934604897e-27,-0.97% 🩷🡇
He,6.753663808268563e-27,6.646476991348174e-27,1.61% 🟢🡅
Li,1.1849991413360053e-26,1.1524141126186498e-26,2.83% 🟡🡅
Be,1.5226823317494333e-26,1.496511018118414e-26,1.75% 🟢🡅
B,1.8603655221628616e-26,1.7950427316149283e-26,3.64% 🟡🡅
C,2.026099142480569e-26,1.994473473582507e-26,1.59% 🟢🡅
N,2.363782332893997e-26,2.325867255218392e-26,1.63% 🟢🡅
O,2.701465523307425e-26,2.656696453571437e-26,1.69% 🟢🡅
F,3.2110982838165744e-26,3.154692119816874e-26,1.79% 🟢🡅
Ne,3.376831904134281e-26,3.3509678375568226e-26,0.77% 🩷🡅
Na,3.886464664643431e-26,3.817540956980222e-26,1.81% 🟢🡅
Mg,4.052198284961138e-26,4.035940202766034e-26,0.40% 🩷🡅
Al,4.5618310454702873e-26,4.480389877170523e-26,1.82% 🟢🡅
Si,4.727564665787994e-26,4.663623970157749e-26,1.37% 🟢🡅
P,5.237197426297143e-26,5.1433141858344745e-26,1.83% 🟢🡅
S,5.40293104661485e-26,5.323688249359353e-26,1.49% 🟢🡅
Cl,5.912563807124e-26,5.886610993131287e-26,0.44% 🩷🡅
Ar,6.766095707824591e-26,6.633521465546083e-26,2.00% 🟢🡅
K,6.587930187950856e-26,6.492425461008321e-26,1.47% 🟢🡅
Ca,6.753663808268562e-26,6.655108473419344e-26,1.48% 🟢🡅
Sc,7.607195708969153e-26,7.464953376480028e-26,1.91% 🟢🡅
Ti,8.116828469478303e-26,7.948502352841052e-26,2.12% 🟢🡅
V,8.626461229987452e-26,8.45911811599701e-26,1.98% 🟢🡅
Cr,8.792194850305159e-26,8.634138933677134e-26,1.83% 🟢🡅
Mn,9.301827610814308e-26,9.122669527239679e-26,1.96% 🟢🡅
Fe,9.467561231132016e-26,9.273280420632346e-26,2.10% 🟢🡅
Co,9.977193991641165e-26,9.786054884575631e-26,1.95% 🟢🡅
Ni,9.970978041863151e-26,9.746201946963458e-26,2.31% 🟢🡅
Cu,1.082450994256374e-25,1.0552061556262928e-25,2.58% 🟡🡅
Zn,1.099024356288145e-25,1.0856604421182608e-25,1.23% 🟢🡅
Ga,1.1843775463582038e-25,1.1577776538056212e-25,2.30% 🟢🡅
Ge,1.2353408224091189e-25,1.2060495244883648e-25,2.43% 🟢🡅
As,1.2691091414504617e-25,1.2441090799079895e-25,2.01% 🟢🡅
Se,1.3372673745109487e-25,1.3113443067378584e-25,1.98% 🟢🡅
Br,1.3538407365427196e-25,1.3268371362345906e-25,2.04% 🟢🡅
Kr,1.4219989696032066e-25,1.3914985275103401e-25,2.19% 🟢🡅
Rb,1.4385723316349772e-25,1.4192295299321434e-25,1.36% 🟢🡅
Sr,1.489535607685892e-25,1.4549643306577245e-25,2.38% 🟢🡅
Y,1.5061089697176626e-25,1.4763188630615803e-25,2.02% 🟢🡅
Zr,1.5398772887590054e-25,1.51481015863867e-25,1.65% 🟢🡅
Nb,1.5736456078003485e-25,1.542740425748534e-25,2.00% 🟢🡅
Mo,1.6246088838512633e-25,1.593287234953306e-25,1.97% 🟢🡅
Tc,1.6583772028926061e-25,1.6273282858303698e-25,1.91% 🟢🡅
Ru,1.7093404789435212e-25,1.6783068351926068e-25,1.85% 🟢🡅
Rh,1.743108797984864e-25,1.7088607540286058e-25,2.00% 🟢🡅
Pd,1.7940720740357788e-25,1.7671456752864078e-25,1.52% 🟢🡅
Ag,1.8278403930771218e-25,1.7912234917604285e-25,2.04% 🟢🡅
Cd,1.8959986261376084e-25,1.866611965410121e-25,1.57% 🟢🡅
In,1.9469619021885237e-25,1.9066309569290108e-25,2.12% 🟢🡅
Sn,2.0151201352490105e-25,1.9712259266420733e-25,2.23% 🟢🡅
Sb,2.0660834112999253e-25,2.0218723681908758e-25,2.19% 🟢🡅
Te,2.1686315583795563e-25,2.118847849713828e-25,2.35% 🟢🡅
I,2.150815006392183e-25,2.1072983023399147e-25,2.07% 🟢🡅
Xe,2.2189732394526704e-25,2.1801217412925434e-25,1.78% 🟢🡅
Cs,2.2527415584940128e-25,2.2070224741807596e-25,2.07% 🟢🡅
Ba,2.3208997915545e-25,2.280418300949844e-25,1.78% 🟢🡅
La,2.354668110595843e-25,2.3066548182111905e-25,2.08% 🟢🡅
Ce,2.371241472627613e-25,2.326747340923994e-25,1.91% 🟢🡅
Pr,2.387814834659384e-25,2.3398655995546673e-25,2.05% 🟢🡅
Nd,2.4387781107102993e-25,2.3951615504915565e-25,1.82% 🟢🡅
Pm,2.4553514727420697e-25,2.4077816474020777e-25,1.98% 🟢🡅
Sm,2.540704662812129e-25,2.4967865414025964e-25,1.76% 🟢🡅
Eu,2.5744729818534718e-25,2.5233551664773776e-25,2.03% 🟢🡅
Gd,2.6598261719235305e-25,2.611197683130874e-25,1.86% 🟢🡅
Tb,2.693594490964874e-25,2.639094739459395e-25,2.07% 🟢🡅
Dy,2.7617527240253606e-25,2.698375984157501e-25,2.35% 🟢🡅
Ho,2.7955210430667034e-25,2.738727083489826e-25,2.07% 🟢🡅
Er,2.8292893621080463e-25,2.777417643754976e-25,1.87% 🟢🡅
Tm,2.863057681149389e-25,2.8051486461767794e-25,2.06% 🟢🡅
Yb,2.9312159142098763e-25,2.873562855744342e-25,2.01% 🟢🡅
Lu,2.9649842332512187e-25,2.9054452058340798e-25,2.05% 🟢🡅
Hf,3.015947509302134e-25,2.9638961809985993e-25,1.76% 🟢🡅
Ta,3.066910785353049e-25,3.0047454420510756e-25,2.07% 🟢🡅
W,3.1178740614039636e-25,3.0527350210924e-25,2.13% 🟢🡅
Re,3.1516423804453064e-25,3.0920897969844204e-25,1.93% 🟢🡅
Os,3.2198006135057937e-25,3.1588434674848085e-25,1.93% 🟢🡅
Ir,3.253568932547136e-25,3.191888194921568e-25,1.93% 🟢🡅
Pt,3.304532208598051e-25,3.23937961224274e-25,2.01% 🟢🡅
Au,3.338300527639394e-25,3.270763800612326e-25,2.06% 🟢🡅
Hg,3.4064587606998804e-25,3.3308753148440195e-25,2.27% 🟢🡅
Tl,3.457422036750796e-25,3.393809745489908e-25,1.87% 🟢🡅
Pb,3.5083853128017105e-25,3.4406369471842102e-25,1.97% 🟢🡅
Bi,3.5421536318430533e-25,3.470194542579905e-25,2.07% 🟢🡅
Po,3.5415320368652517e-25,3.4705266503933395e-25,2.05% 🟢🡅
At,3.558105398897023e-25,3.487132041065078e-25,2.04% 🟢🡅
Rn,3.7638232880340866e-25,3.68639672912594e-25,2.10% 🟢🡅
Fr,3.7803966500658575e-25,3.703002119797678e-25,2.09% 🟢🡅
Ra,3.8313599261167723e-25,3.7528182918128935e-25,2.09% 🟢🡅
Ac,3.8479332881485427e-25,3.769423682484632e-25,2.08% 🟢🡅
Th,3.933286478218602e-25,3.853114851470194e-25,2.08% 🟢🡅
Pa,3.9154699262312288e-25,3.836509460798455e-25,2.06% 🟢🡅
U,4.035213030320432e-25,3.9525811415939075e-25,2.09% 🟢🡅
H2O,3.032932763942839e-26,2.991461129513685e-26,1.39% 🟢🡅
CO2,7.42903018909542e-26,7.308032434632099e-26,1.66% 🟢🡅
O2,5.40293104661485e-26,5.313525750268249e-26,1.68% 🟢🡅
N2,4.727564665787994e-26,4.651734510436784e-26,1.63% 🟢🡅
CH4,3.376831904134281e-26,2.6635046637468497e-26,26.78% 🔴🡅
C6H12O6,2.4313189709766827e-25,2.991627183420402e-25,-18.73% 🟠🡇
NH3,3.376831904134281e-26,2.8279810583504195e-26,19.41% 🟠🡅
HCl,6.078297427441707e-26,6.054325438915844e-26,0.40% 🩷🡅
C2H6,6.078297427441707e-26,4.993240974991757e-26,21.73% 🟠🡅
C2H4,5.40293104661485e-26,4.65781208342264e-26,16.00% 🟠🡅
C2H2,4.727564665787994e-26,4.324043730920697e-26,9.33% 🟡🡅
NaCl,9.455129331575988e-26,9.70419030856396e-26,-2.57% 🟡🡇
C8H18,3.309295266051596e-25,1.8968337764326854e-25,74.46% 🔴🡅
C6H6,1.6208793139844552e-25,1.2970470653694916e-25,24.97% 🟠🡅
CH3COOH,1.08058620932297e-25,9.971869206192385e-26,8.36% 🟡🡅
H2SO4,1.6884159520671407e-25,1.6286401116934371e-25,3.67% 🟡🡅
CaCO3,1.6884159520671407e-25,1.661982075623221e-25,1.59% 🟢🡅
C12H22O11,5.943224151276336e-25,5.684025226936077e-25,4.56% 🟡🡅
Caffeine,6.551053894020506e-25,3.224600814544893e-25,103.16% 🔴🡅
DNA (avg),3.376831904134282e-23,1.0793503936630003e-23,212.86% 🔴🡅
