knot,base,a32,a48,a64,Delta,VolH,GeomType,Band,SST_Candidate,SST_Reason,VAM6,SM_Candidate,Category,T_pq,c,b,g,u,Dark,FSG
1_1,1_1,-0.5,-0.5,-0.5,0.0,0.0,torus/Seifert,Achiral,Boson (photon-like envelope),Unknot; achiral control; gauge envelope,,Bosonic envelope,Bosonic envelope,,0,,,no,
3_1,3_1,-0.500770,-0.497174,-0.497767,-0.000593,0.0,torus/Seifert,Lepton-band,Lepton (e/μ/τ band),Torus family; small chiral offset,"D4,D6; reversible; periods 2,3; FSG Z2",e± (electron/positron),SM,T(2,3),3,2,1,1,no,Z2
3_1p,3_1,-0.463989,-0.451127,-0.483373,-0.032246,0.0,torus/Seifert,Lepton-band,Lepton (e/μ/τ band),Torus family; small chiral offset,"D4,D6; reversible; periods 2,3; FSG Z2",e± (electron/positron),SM,T(2,3),3,2,1,1,no,Z2
3_1u,3_1,-0.490010,-0.497529,-0.498207,-0.000678,0.0,torus/Seifert,Lepton-band,Lepton (e/μ/τ band),Torus family; small chiral offset,"D4,D6; reversible; periods 2,3; FSG Z2",e± (electron/positron),SM,T(2,3),3,2,1,1,no,Z2
4_1,4_1,-0.494441,-0.495952,-0.496245,-0.000292,2.029883,hyperbolic,Lepton-band,Neutral lepton-like/boson-adjacent,Hyperbolic but near-achiral,D4; Z4; I8; reversible; amphichiral; periods 2; FSG D8,ν_e ν_μ ν_τ (amphi; non-grav.),SM,,,,,yes+,D8
4_1d,4_1,-0.516056,-0.512735,-0.500482,0.012253,2.029883,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; Z4; I8; reversible; amphichiral; periods 2; FSG D8,ν_e ν_μ ν_τ (amphi; non-grav.),SM,,,,,yes+,D8
4_1p,4_1,-0.503487,-0.498804,-0.501679,-0.002875,2.029883,hyperbolic,Lepton-band,Neutral lepton-like/boson-adjacent,Hyperbolic but near-achiral,D4; Z4; I8; reversible; amphichiral; periods 2; FSG D8,ν_e ν_μ ν_τ (amphi; non-grav.),SM,,,,,yes+,D8
4_1z,4_1,-0.500000,-0.500000,-0.500000,0.0,2.029883,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; Z4; I8; reversible; amphichiral; periods 2; FSG D8,ν_e ν_μ ν_τ (amphi; non-grav.),SM,,,,,yes+,D8
5_1,5_1,-0.497061,-0.495156,-0.496288,-0.001132,0.0,torus/Seifert,Lepton-band,Lepton (e/μ/τ band),Torus family; small chiral offset,"D4,D10; reversible; periods 2,5; FSG Z2",μ± (muon/antimuon),SM,T(2,5),5,2,2,2,no,Z2
5_1p,5_1,-0.473808,-0.432266,-0.461195,-0.028929,0.0,torus/Seifert,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,"D4,D10; reversible; periods 2,5; FSG Z2",μ± (muon/antimuon),SM,T(2,5),5,2,2,2,no,Z2
5_1u,5_1,-0.472079,-0.498316,-0.498120,0.000197,0.0,torus/Seifert,Lepton-band,Lepton (e/μ/τ band),Torus family; small chiral offset,"D4,D10; reversible; periods 2,5; FSG Z2",μ± (muon/antimuon),SM,T(2,5),5,2,2,2,no,Z2
5_2,5_2,-0.460381,-0.461674,-0.474011,-0.012338,2.828122,hyperbolic,Lepton-band,Neutral lepton-like/boson-adjacent,Hyperbolic but near-achiral,D4; reversible; period 2; FSG D4,u / ū (up),SM,,,,,no,D4
5_2d,5_2,-0.589535,-0.503775,-0.531280,-0.027506,2.828122,hyperbolic,Quarklike,Quark (down-sector family),Strong chirality; hyperbolic; volume sets heavier partner,D4; reversible; period 2; FSG D4,u / ū (up),SM,,,,,no,D4
5_2r,5_2,-0.483945,-0.475974,-0.477679,-0.001706,2.828122,hyperbolic,Lepton-band,Neutral lepton-like/boson-adjacent,Hyperbolic but near-achiral,D4; reversible; period 2; FSG D4,u / ū (up),SM,,,,,no,D4
6_1,6_1,-0.481028,-0.490906,-0.498836,-0.007931,3.163963,hyperbolic,Lepton-band,Neutral lepton-like/boson-adjacent,Hyperbolic but near-achiral,D4; reversible; period 2; FSG D4,d / d̄ (down),SM,,,,,no,D4
6_2,6_2,-0.486665,-0.484527,-0.489584,-0.005058,4.40083,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,s / s̄ (strange),SM,,,,,no,D4
6_2d,6_2,-0.441094,-0.425659,-0.493207,-0.067548,4.40083,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,s / s̄ (strange),SM,,,,,no,D4
6_2p,6_2,-0.459171,-0.466799,-0.482306,-0.015507,4.40083,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,s / s̄ (strange),SM,,,,,no,D4
6_3d,6_3,-0.468437,-0.449133,-0.513413,-0.064280,5.69302,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; Z4; I?; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
6_3z,6_3,-0.500000,-0.500000,-0.500000,0.0,5.69302,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; Z4; I?; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
7_1,7_1,-0.493919,-0.494049,-0.495845,-0.001796,0.0,torus/Seifert,Lepton-band,Lepton (e/μ/τ band),Torus family; small chiral offset,"D4,D14; reversible; periods 2,7; FSG Z2",τ± (tau/antitau),SM,T(2,7),7,2,3,3,no,Z2
7_1p,7_1,-0.426488,-0.407280,-0.434125,-0.026845,0.0,torus/Seifert,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,"D4,D14; reversible; periods 2,7; FSG Z2",τ± (tau/antitau),SM,T(2,7),7,2,3,3,no,Z2
7_2,7_2,-0.398698,-0.472856,-0.471994,0.000862,3.33174,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
7_2d,7_2,-0.373381,-0.460130,-0.461194,-0.001065,3.33174,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
7_2r,7_2,-0.503653,-0.435924,-0.476492,-0.040568,3.33174,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
7_3,7_3,-0.553624,-0.512103,-0.511332,0.000772,4.592,hyperbolic,Lepton-band,Neutral lepton-like/boson-adjacent,Hyperbolic but near-achiral,D4; reversible; period 2; FSG D4,c / c̄ (charm),SM,,,,,no,D4
7_3d,7_3,-0.167858,-0.213390,-0.422530,-0.209140,4.592,hyperbolic,Quarklike,Quark (down-sector family),Strong chirality; hyperbolic; volume sets heavier partner,D4; reversible; period 2; FSG D4,c / c̄ (charm),SM,,,,,no,D4
7_4,7_4,-0.580185,-0.535998,-0.521904,0.014094,5.13794,hyperbolic,Lepton-band,Neutral lepton-like/boson-adjacent,Hyperbolic but near-achiral,D4; reversible; period 2; FSG D8,,Exotic/unstable,,,,,no,D8
7_5,7_5,-0.429097,-0.479612,-0.478574,0.001038,6.44354,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
7_5d,7_5,-0.672982,-0.585048,-0.596913,-0.011865,6.44354,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
7_6d,7_6,-0.463755,-0.460568,-0.433448,0.027119,6.87042,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
7_6s,7_6,-0.455988,-0.404608,-0.507556,-0.102948,6.87042,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
7_7d,7_7,-0.541283,-0.532758,-0.527641,0.005117,7.16991,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D8,,Unclassified,,,,,no,D8
8_1,8_1,-0.423589,-0.491410,-0.477966,0.013444,4.05871,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_1d,8_1,-0.506283,-0.586123,-0.551021,0.035101,4.05871,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_2,8_2,-0.394092,-0.455753,-0.475488,-0.019736,3.16396,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_2d,8_2,-0.381223,-0.409301,-0.441309,-0.032007,3.16396,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_3d,8_3,-0.554378,-0.518134,-0.471877,0.046257,5.33349,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; Z4; I8; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_3z,8_3,-0.500000,-0.500000,-0.500000,0.0,5.33349,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; Z4; I8; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_4d,8_4,-0.624136,-0.488340,-0.516994,-0.028654,5.13794,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_5,8_5,-1.994310,-2.252137,-2.501424,-0.249287,6.99719,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_6,8_6,-0.469889,-0.485620,-0.498181,-0.012561,7.47524,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_6p,8_6,-0.456347,-0.466841,-0.492933,-0.026092,7.47524,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_7d,8_7,-0.548491,-0.735069,-0.616031,0.119037,7.0222,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_7s,8_7,-0.527364,-0.532449,-0.505605,0.026844,7.0222,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_8d,8_8,-0.591025,-0.620066,-0.520086,0.099980,7.80134,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,b / b̄ (bottom),SM,,,,,no,
8_9d,8_9,-0.513424,-0.714405,-0.440887,0.273519,7.58818,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; I4; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_10s,8_10,-0.551529,-0.517747,-0.509022,0.008725,6.44354,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D2(r); FSG D2; (no period-2 anomaly),,Unclassified,,,,,no,D2
8_11,8_11,-0.419160,-0.461399,-0.474832,-0.013433,8.28632,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_11d,8_11,-0.427567,-0.396516,-0.460941,-0.064426,8.28632,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_12d,8_12,-0.327567,-0.531939,-0.527638,0.004301,8.93586,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; Z4; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_12z,8_12,-0.500000,-0.500000,-0.500000,0.0,8.93586,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; Z4; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_13d,8_13,-0.423073,-0.503803,-0.484029,0.019774,8.53123,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_13p,8_13,-0.534581,-0.517528,-0.519266,-0.001738,8.53123,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_14d,8_14,-0.412020,-0.416949,-0.567701,-0.150752,9.2178,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_14r,8_14,-0.434127,-0.485016,-0.499880,-0.014864,9.2178,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_15,8_15,-0.378069,-0.468248,-0.491124,-0.022876,9.93065,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_15d,8_15,-0.278169,-0.413331,-0.423076,-0.009745,9.93065,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_15p,8_15,-0.444321,-0.435170,-0.484628,-0.049458,9.93065,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_16,8_16,-0.525059,-0.469194,-0.489690,-0.020496,10.579,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D2
8_17,8_17,-0.501981,-0.502037,-0.500398,0.001640,10.9859,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; reversible; period 2; FSG D4,,Unclassified,,,,,yes--,D2
8_18,8_18,-0.408240,-0.474055,-0.512552,-0.038497,12.3509,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,"D4,D8; Z8; reversible; amphichiral; periods 2,4; FSG D16",t / t̄ (top),SM,,,,,yes+,D16
8_18z,8_18,-0.539419,-0.542692,-0.510501,0.032191,12.3509,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,"D4,D8; Z8; reversible; amphichiral; periods 2,4; FSG D16",t / t̄ (top),SM,,,,,yes+,D16
8_19t,8_19,-0.485857,-0.494466,-0.497595,-0.003129,0.0,torus/Seifert,Lepton-band,Lepton-like,Near-achiral chiral offset,"D4,D6,D8; reversible; periods 2,3,4; FSG Z2",Bosonic envelope,Bosonic envelope,T(3,4),8,3,3,3,no,Z2
8_19u,8_19,-0.495488,-0.500443,-0.499322,0.001121,0.0,torus/Seifert,Lepton-band,Lepton-like,Near-achiral chiral offset,"D4,D6,D8; reversible; periods 2,3,4; FSG Z2",Bosonic envelope,Bosonic envelope,T(3,4),8,3,3,3,no,Z2
8_20r,8_20,-0.461863,-0.527689,-0.512996,0.014693,11.396,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D2(r); FSG D2; (no period-2 anomaly),,Unclassified,,,,,no,D2
8_21d,8_21,-0.403234,-0.411866,-0.482348,-0.070482,11.465,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_21p,8_21,-0.402733,-0.456887,-0.499161,-0.042274,11.465,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_21r,8_21,-0.487109,-0.461653,-0.490231,-0.028578,11.465,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
12a_1202,12a_1202,-0.690660,-0.483627,-0.439594,0.044033,,unknown/12-crossing,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,"Z2,Z6; reversible; amphichiral; FSG D12",,Dark (amphi),,,,,yes+,D12
12a_1202z6,12a_1202z6,-0.500000,-0.500000,-0.500000,0.0,,unknown/12-crossing,Achiral,Bosonic envelope,Achiral across refinements,,,,Dark (amphi),,,,,
15331,15331,-0.500000,-0.500000,-0.500000,0.0,,unknown/12-crossing,Achiral,Bosonic envelope,Achiral across refinements,Z2; amphichiral; (exceptional),,Dark (amphi),,,,yes--,
