Object,Actual Mass (kg),Predicted Mass (kg),% Error,Predicted Mass (kg) [CANON],% Error [CANON],Predicted Mass (kg) [Sector Norm],% Error [Sector Norm]
Electron,9.1093837015e-31,9.1093837015e-31,0.000% 🩷️,9.1093837015e-31,0.000% 🩷️,9.1093837015e-31,0.000% 🩷️
Proton,1.67262192369e-27,1.67262192369e-27,0.000% 🩷️,1.6204011882387627e-27,-3.12% 🟡🡇,1.67262192369e-27,0.000% 🩷️
Neutron,1.67492749804e-27,1.6749274980400004e-27,0.000% 🩷️,1.6820933140661992e-27,0.43% ❤️🡅,1.736302204182863e-27,3.66% 🟡🡅
H,1.6735576934604897e-27,1.67353286206015e-27,-0.001% 🩷️,1.6213121266089127e-27,-3.12% 🟡🡇,1.67353286206015e-27,-0.001% 🩷️
He,6.646476991348174e-27,6.656202927239658e-27,0.15% ❤️🡅,6.566093088389581e-27,-1.21% 🟢🡇,6.778952339525382e-27,1.99% 🟢🡅
Li,1.1524141126186498e-26,1.1649896001985495e-26,1.09% 🟢🡅,1.1521897059736579e-26,-0.02% ❤️🡇,1.1895394826556946e-26,3.22% 🟡🡅
Be,1.496511018118414e-26,1.496537671865821e-26,0.002% 🩷️,1.479232285698426e-26,-1.15% 🟢🡇,1.5272250249372526e-26,2.05% 🟢🡅
B,1.7950427316149283e-26,1.8280568375131058e-26,1.84% 🟢🡅,1.8062459594032067e-26,0.62% ❤️🡅,1.8648816611988235e-26,3.89% 🟡🡅
C,1.994473473582507e-26,1.993101379942534e-26,-0.07% ❤️🡇,1.9660684282875107e-26,-1.42% 🟢🡇,2.0299262036282516e-26,1.78% 🟢🡅
N,2.325867255218392e-26,2.3257880357522798e-26,-0.003% 🩷️,2.2942495921547524e-26,-1.36% 🟢🡇,2.3687503300522835e-26,1.84% 🟢🡅
O,2.656696453571437e-26,2.656311907797954e-26,-0.01% ❤️🡇,2.6202679722579234e-26,-1.37% 🟢🡇,2.705411672712244e-26,1.83% 🟢🡅
F,3.154692119816874e-26,3.153997140351676e-26,-0.02% ❤️🡇,3.1141642944717615e-26,-1.28% 🟢🡇,3.215371846494539e-26,1.92% 🟢🡅
Ne,3.3509678375568226e-26,3.3194432081420884e-26,-0.94% ❤️🡇,3.27438828871705e-26,-2.29% 🟢🡇,3.3808179142849515e-26,0.89% ❤️🡅
Na,3.817540956980222e-26,3.816971466409142e-26,-0.01% ❤️🡇,3.76812763664422e-26,-1.29% 🟢🡇,3.890621113780577e-26,1.91% 🟢🡅
Mg,4.035940202766034e-26,3.982562751218357e-26,-1.32% 🟢🡇,3.92849684790831e-26,-2.66% 🟡🡇,4.056212398589792e-26,0.50% ❤️🡅
Al,4.480389877170523e-26,4.4799890994970865e-26,-0.009% 🩷️,4.422134285847156e-26,-1.30% 🟢🡇,4.5659136880970943e-26,1.91% 🟢🡅
Si,4.663623970157749e-26,4.6457082543654604e-26,-0.38% ❤️🡇,4.5826313671704056e-26,-1.74% 🟢🡇,4.7316328429654677e-26,1.46% 🟢🡅
P,5.1433141858344745e-26,5.1430675035773043e-26,-0.005% 🩷️,5.0762017060423664e-26,-1.30% 🟢🡇,5.241267033405885e-26,1.90% 🟢🡅
S,5.323688249359353e-26,5.308902818325359e-26,-0.28% ❤️🡇,5.236814947245297e-26,-1.63% 🟢🡇,5.407102348153938e-26,1.57% 🟢🡅
Cl,5.886610993131287e-26,5.806218471745262e-26,-1.37% 🟢🡇,5.730341690325316e-26,-2.65% 🟡🡇,5.916692942802414e-26,0.51% ❤️🡅
Ar,6.633521465546083e-26,6.634720740231791e-26,0.02% ❤️🡅,6.556488211677202e-26,-1.16% 🟢🡇,6.769745093746089e-26,2.05% 🟢🡅
K,6.492425461008321e-26,6.469450169862128e-26,-0.35% ❤️🡇,6.384562404557175e-26,-1.66% 🟢🡇,6.592199582147854e-26,1.54% 🟢🡅
Ca,6.655108473419344e-26,6.635494372740187e-26,-0.29% ❤️🡇,6.545384533890111e-26,-1.65% 🟢🡇,6.758243785025913e-26,1.55% 🟢🡅
Sc,7.464953376480028e-26,7.463855139557642e-26,-0.01% ❤️🡇,7.371389553572921e-26,-1.25% 🟢🡇,7.611154434300512e-26,1.96% 🟢🡅
Ti,7.948502352841052e-26,7.960957716529813e-26,0.16% ❤️🡅,7.864703220205207e-26,-1.05% 🟢🡇,8.120531952501255e-26,2.16% 🟢🡅
V,8.45911811599701e-26,8.458733864229118e-26,-0.005% 🩷️,8.358690457564628e-26,-1.19% 🟢🡇,8.630583041429134e-26,2.03% 🟢🡅
Cr,8.634138933677134e-26,8.624251076530132e-26,-0.11% ❤️🡇,8.518985596320519e-26,-1.33% 🟢🡇,8.796100253730148e-26,1.88% 🟢🡅
Mn,9.122669527239679e-26,9.122000506720398e-26,-0.007% 🩷️,9.012946116170901e-26,-1.20% 🟢🡇,9.306124625148986e-26,2.01% 🟢🡅
Fe,9.273280420632346e-26,9.287657769709294e-26,0.16% ❤️🡅,9.173381305614673e-26,-1.08% 🟢🡇,9.471781888137882e-26,2.14% 🟢🡅
Co,9.786054884575631e-26,9.785388874864296e-26,-0.007% 🩷️,9.667323500429791e-26,-1.21% 🟢🡇,9.981787934521456e-26,2.00% 🟢🡅
Ni,9.746201946963458e-26,9.785861792610907e-26,0.41% ❤️🡅,9.661857763028659e-26,-0.87% ❤️🡇,9.976123381653782e-26,2.36% 🟢🡅
Cu,1.0552061556262928e-25,1.0614924765525392e-25,0.60% ❤️🡅,1.0488564988808498e-25,-0.60% ❤️🡇,1.082973623702541e-25,2.63% 🟡🡅
Zn,1.0856604421182608e-25,1.078069290666799e-25,-0.70% ❤️🡇,1.0649111056405974e-25,-1.91% 🟢🡇,1.0995504378168008e-25,1.28% 🟢🡅
Ga,1.1577776538056212e-25,1.1610228854718506e-25,0.28% ❤️🡅,1.1476291257321846e-25,-0.88% ❤️🡇,1.1849590208675668e-25,2.35% 🟢🡅
Ge,1.2060495244883648e-25,1.2107743559986186e-25,0.39% ❤️🡅,1.1970017052249643e-25,-0.75% ❤️🡇,1.2359379855171922e-25,2.48% 🟢🡅
As,1.2441090799079895e-25,1.2439510653972097e-25,-0.01% ❤️🡇,1.229727865429305e-25,-1.16% 🟢🡇,1.269728441977212e-25,2.06% 🟢🡅
Se,1.3113443067378584e-25,1.3103413253182646e-25,-0.08% ❤️🡇,1.2958108924766332e-25,-1.18% 🟢🡇,1.3379599430825527e-25,2.03% 🟢🡅
Br,1.3268371362345906e-25,1.3269345296410415e-25,0.007% 🩷️,1.311881889444898e-25,-1.13% 🟢🡇,1.3545531474053299e-25,2.09% 🟢🡅
Kr,1.3914985275103401e-25,1.3932876298722325e-25,0.13% ❤️🡅,1.3779277568023628e-25,-0.98% ❤️🡇,1.4227474888208067e-25,2.25% 🟢🡅
Rb,1.4192295299321434e-25,1.4098824977944849e-25,-0.66% ❤️🡇,1.3940004173701024e-25,-1.78% 🟢🡇,1.4393423567430588e-25,1.42% 🟢🡅
Sr,1.4549643306577245e-25,1.4596529734718586e-25,0.32% ❤️🡅,1.443392002013488e-25,-0.80% ❤️🡇,1.4903403265432898e-25,2.43% 🟢🡅
Y,1.4763188630615803e-25,1.4762599875332568e-25,-0.004% 🩷️,1.4594768087203736e-25,-1.14% 🟢🡇,1.506947340604688e-25,2.07% 🟢🡅
Zr,1.51481015863867e-25,1.5094535838429048e-25,-0.35% ❤️🡇,1.4922198558357713e-25,-1.49% 🟢🡇,1.5407546839757648e-25,1.71% 🟢🡅
Nb,1.542740425748534e-25,1.5426503517970402e-25,-0.006% 🩷️,1.5249660745956563e-25,-1.15% 🟢🡇,1.5745651989913287e-25,2.06% 🟢🡅
Mo,1.593287234953306e-25,1.5924236429891728e-25,-0.05% ❤️🡇,1.5743604747538005e-25,-1.19% 🟢🡇,1.6255659843063186e-25,2.03% 🟢🡅
Tc,1.6273282858303698e-25,1.6256646083359733e-25,-0.10% ❤️🡇,1.6071508909063507e-25,-1.24% 🟢🡇,1.6594206967145477e-25,1.97% 🟢🡅
Ru,1.6783068351926068e-25,1.6754435499443483e-25,-0.17% ❤️🡇,1.6565509414807373e-25,-1.30% 🟢🡇,1.71042713244578e-25,1.91% 🟢🡅
Rh,1.7088607540286058e-25,1.708647837113963e-25,-0.01% ❤️🡇,1.6893046794561015e-25,-1.14% 🟢🡇,1.7442451666768233e-25,2.07% 🟢🡅
Pd,1.7671456752864078e-25,1.758432826683052e-25,-0.49% ❤️🡇,1.738710777991202e-25,-1.61% 🟢🡇,1.7952576503687698e-25,1.59% 🟢🡅
Ag,1.7912234917604285e-25,1.7916795053979826e-25,0.03% ❤️🡅,1.7715069075118822e-25,-1.10% 🟢🡇,1.829118076145129e-25,2.12% 🟢🡅
Cd,1.866611965410121e-25,1.8580549622852082e-25,-0.46% ❤️🡇,1.8375751315253815e-25,-1.56% 🟢🡇,1.8973347742166403e-25,1.65% 🟢🡅
In,1.9066309569290108e-25,1.9078906618508694e-25,0.07% ❤️🡅,1.8870319400570543e-25,-1.03% 🟢🡇,1.9483979679051588e-25,2.19% 🟢🡅
Sn,1.9712259266420733e-25,1.974326745963057e-25,0.16% ❤️🡅,1.9531607912955154e-25,-0.92% ❤️🡇,2.0166752932016323e-25,2.31% 🟢🡅
Sb,2.0218723681908758e-25,2.0241717676276635e-25,0.11% ❤️🡅,2.0026269219261337e-25,-0.95% ❤️🡇,2.0677478089890962e-25,2.27% 🟢🡅
Te,2.118847849713828e-25,2.123856122343853e-25,0.24% ❤️🡅,2.1021473600891206e-25,-0.79% ❤️🡇,2.1705008990124287e-25,2.44% 🟢🡅
I,2.1072983023399147e-25,2.107194824864386e-25,-0.005% 🩷️,2.084820538934617e-25,-1.07% 🟢🡇,2.1526121074101042e-25,2.15% 🟢🡅
Xe,2.1801217412925434e-25,2.1736544582949753e-25,-0.30% ❤️🡇,2.1509729394914805e-25,-1.34% 🟢🡇,2.2209129820249795e-25,1.87% 🟢🡅
Cs,2.2070224741807596e-25,2.2068671502258534e-25,-0.007% 🩷️,2.183735082228108e-25,-1.06% 🟢🡇,2.2547394210172864e-25,2.16% 🟢🡅
Ba,2.280418300949844e-25,2.273337134696321e-25,-0.31% ❤️🡇,2.249897833824849e-25,-1.34% 🟢🡇,2.32305064667204e-25,1.87% 🟢🡅
La,2.3066548182111905e-25,2.3065518866882214e-25,-0.004% 🩷️,2.282662036622499e-25,-1.04% 🟢🡇,2.356879145725369e-25,2.18% 🟢🡅
Ce,2.326747340923994e-25,2.3231285801565327e-25,-0.16% ❤️🡇,2.298716522736298e-25,-1.20% 🟢🡇,2.3734558391936798e-25,2.01% 🟢🡅
Pr,2.3398655995546673e-25,2.33975087569999e-25,-0.005% 🩷️,2.3148166109252432e-25,-1.07% 🟢🡇,2.3900781347371376e-25,2.15% 🟢🡅
Nd,2.3951615504915565e-25,2.3895792803039532e-25,-0.23% ❤️🡇,2.364266124495218e-25,-1.29% 🟢🡇,2.441134033463958e-25,1.92% 🟢🡅
Pm,2.4077816474020777e-25,2.4062119465979004e-25,-0.07% ❤️🡇,2.380376583434653e-25,-1.14% 🟢🡇,2.4577666997579055e-25,2.08% 🟢🡅
Sm,2.4967865414025964e-25,2.489278915428348e-25,-0.30% ❤️🡇,2.463207977551636e-25,-1.34% 🟢🡇,2.543288656834067e-25,1.86% 🟢🡅
Eu,2.5233551664773776e-25,2.522543569076738e-25,-0.03% ❤️🡇,2.4960220820057755e-25,-1.08% 🟢🡇,2.5771670575438854e-25,2.13% 🟢🡅
Gd,2.611197683130874e-25,2.6056337787168254e-25,-0.21% ❤️🡇,2.5788767169323986e-25,-1.24% 🟢🡇,2.6627122554296875e-25,1.97% 🟢🡅
Tb,2.639094739459395e-25,2.6388662172475306e-25,-0.009% 🩷️,2.6116586062688533e-25,-1.04% 🟢🡇,2.6965584410218215e-25,2.18% 🟢🡅
Dy,2.698375984157501e-25,2.7053594001832974e-25,0.26% ❤️🡅,2.677844556330894e-25,-0.76% ❤️🡇,2.7648928651418746e-25,2.47% 🟢🡅
Ho,2.738727083489826e-25,2.7385942211753147e-25,-0.005% 🩷️,2.710628828128661e-25,-1.03% 🟢🡇,2.7987414331953206e-25,2.19% 🟢🡅
Er,2.777417643754976e-25,2.771832259110329e-25,-0.20% ❤️🡇,2.7434163168694245e-25,-1.22% 🟢🡇,2.832593218191763e-25,1.99% 🟢🡅
Tm,2.8051486461767794e-25,2.8050734787445225e-25,-0.003% 🩷️,2.7762069873093676e-25,-1.03% 🟢🡇,2.866448184887385e-25,2.19% 🟢🡅
Yb,2.873562855744342e-25,2.8715734122741224e-25,-0.07% ❤️🡇,2.8423996879652412e-25,-1.08% 🟢🡇,2.934789359601271e-25,2.13% 🟢🡅
Lu,2.9054452058340798e-25,2.904817092065776e-25,-0.02% ❤️🡇,2.8751928185626437e-25,-1.04% 🟢🡇,2.9686467864543525e-25,2.18% 🟢🡅
Hf,2.9638961809985993e-25,2.9546779038996517e-25,-0.31% ❤️🡇,2.9246747393625313e-25,-1.32% 🟢🡇,3.019735092411086e-25,1.88% 🟢🡅
Ta,3.0047454420510756e-25,3.004571164348704e-25,-0.006% 🩷️,2.9741891087775955e-25,-1.02% 🟢🡇,3.070855846982996e-25,2.20% 🟢🡅
W,3.0527350210924e-25,3.054437326481257e-25,0.06% ❤️🡅,3.0236763798761604e-25,-0.95% ❤️🡇,3.1219495032384064e-25,2.27% 🟢🡅
Re,3.0920897969844204e-25,3.087717270324947e-25,-0.14% ❤️🡇,3.0565057745255998e-25,-1.15% 🟢🡇,3.1558431941435246e-25,2.06% 🟢🡅
Os,3.1588434674848085e-25,3.1542067224377256e-25,-0.15% ❤️🡇,3.1226879937646515e-25,-1.14% 🟢🡇,3.224173887440589e-25,2.07% 🟢🡅
Ir,3.191888194921568e-25,3.1874888108789482e-25,-0.14% ❤️🡇,3.1555195330116245e-25,-1.14% 🟢🡇,3.2580697229432403e-25,2.07% 🟢🡅
Pt,3.23937961224274e-25,3.237363991217429e-25,-0.06% ❤️🡇,3.2050158223161166e-25,-1.06% 🟢🡇,3.3091723974045786e-25,2.15% 🟢🡅
Au,3.270763800612326e-25,3.2706216739890846e-25,-0.004% 🩷️,3.237822955893522e-25,-1.01% 🟢🡇,3.343043827237663e-25,2.21% 🟢🡅
Hg,3.3308753148440195e-25,3.3371503186327287e-25,0.19% ❤️🡅,3.304044367663439e-25,-0.81% ❤️🡇,3.4114137130655925e-25,2.42% 🟢🡅
Tl,3.393809745489908e-25,3.387060978750005e-25,-0.20% ❤️🡇,3.3535761367467276e-25,-1.19% 🟢🡇,3.462551867305726e-25,2.03% 🟢🡅
Pb,3.4406369471842102e-25,3.436946056958916e-25,-0.11% ❤️🡇,3.4030823239216496e-25,-1.09% 🟢🡇,3.5136644396374945e-25,2.12% 🟢🡅
Bi,3.470194542579905e-25,3.470209142843273e-25,0.000% 🩷️,3.435894860611757e-25,-0.99% ❤️🡇,3.5475412725832797e-25,2.23% 🟢🡅
Po,3.4705266503933395e-25,3.4702101260551175e-25,-0.009% 🩷️,3.4353019783088264e-25,-1.01% 🟢🡇,3.5469285087336963e-25,2.20% 🟢🡅
At,3.487132041065078e-25,3.4868694812721383e-25,-0.008% 🩷️,3.4514391261713347e-25,-1.02% 🟢🡇,3.5635878639507166e-25,2.19% 🟢🡅
Rn,3.68639672912594e-25,3.686488812732744e-25,0.002% 🩷️,3.65132449004031e-25,-0.95% ❤️🡇,3.7699584130870366e-25,2.27% 🟢🡅
Fr,3.703002119797678e-25,3.703119353356394e-25,0.003% 🩷️,3.6674328233094477e-25,-0.96% ❤️🡇,3.786588953710687e-25,2.26% 🟢🡅
Ra,3.7528182918128935e-25,3.753019335899976e-25,0.005% 🩷️,3.716953914819042e-25,-0.96% ❤️🡇,3.837716430377127e-25,2.26% 🟢🡅
Ac,3.769423682484632e-25,3.769659268836564e-25,0.006% 🩷️,3.733071640401117e-25,-0.96% ❤️🡇,3.8543563633137145e-25,2.25% 🟢🡅
Th,3.853114851470194e-25,3.8528524174571704e-25,-0.007% 🩷️,3.816029214308259e-25,-0.96% ❤️🡇,3.9400045001800354e-25,2.26% 🟢🡅
Pa,3.836509460798455e-25,3.8362113729513423e-25,-0.008% 🩷️,3.798722646127395e-25,-0.98% ❤️🡇,3.92213596155135e-25,2.23% 🟢🡅
U,3.9525811415939075e-25,3.9526939574104046e-25,0.003% 🩷️,3.9151129721935166e-25,-0.95% ❤️🡇,4.0423010283789846e-25,2.27% 🟢🡅
H2O,2.991461129513685e-26,2.991018480209984e-26,-0.01% ❤️🡇,2.9445303975797057e-26,-1.57% 🟢🡇,3.0401182451242735e-26,1.63% 🟢🡅
CO2,7.308032434632099e-26,7.305725195538442e-26,-0.03% ❤️🡇,7.206604372803358e-26,-1.39% 🟢🡇,7.440749549052739e-26,1.82% 🟢🡅
O2,5.313525750268249e-26,5.312623815595908e-26,-0.02% ❤️🡇,5.240535944515847e-26,-1.37% 🟢🡇,5.410823345424488e-26,1.83% 🟢🡅
N2,4.651734510436784e-26,4.6515760715045597e-26,-0.003% 🩷️,4.588499184309505e-26,-1.36% 🟢🡇,4.737500660104567e-26,1.84% 🟢🡅
CH4,2.6635046637468497e-26,2.662514524766594e-26,-0.04% ❤️🡇,2.614593278931076e-26,-1.84% 🟢🡇,2.699339348452312e-26,1.35% 🟢🡅
C6H12O6,2.991627183420402e-25,2.990471916091511e-25,-0.04% ❤️🡇,2.94635929552033e-25,-1.51% 🟢🡇,3.042026669251515e-25,1.68% 🟢🡅
NH3,2.8279810583504195e-26,2.827847894370325e-26,-0.005% 🩷️,2.7806432301374264e-26,-1.67% 🟢🡇,2.8708101886703287e-26,1.51% 🟢🡅
HCl,6.054325438915844e-26,5.973571757951278e-26,-1.33% 🟢🡇,5.892472902986208e-26,-2.67% 🟡🡇,6.08404622900843e-26,0.49% ❤️🡅
C2H2,4.324043730920697e-26,4.3209093322970986e-26,-0.07% ❤️🡇,4.256399281896804e-26,-1.56% 🟢🡇,4.394558979668533e-26,1.63% 🟢🡅
NaCl,9.70419030856396e-26,9.623189938154405e-26,-0.83% ❤️🡇,9.498469326969537e-26,-2.12% 🟢🡇,9.807314056582991e-26,1.06% 🟢🡅
CaCO3,1.661982075623221e-25,1.6597531476076583e-25,-0.13% ❤️🡇,1.6372256878951394e-25,-1.49% 🟢🡇,1.6904405006790895e-25,1.71% 🟢🡅
C2H6,4.993240974991757e-26,4.990322477121158e-26,-0.06% ❤️🡇,4.904924132540369e-26,-1.77% 🟢🡇,5.0639721244925935e-26,1.42% 🟢🡅
C2H4,4.65781208342264e-26,4.6556159047091283e-26,-0.05% ❤️🡇,4.5806617072185865e-26,-1.66% 🟢🡇,4.729265552080563e-26,1.53% 🟢🡅
C8H18,1.8968337764326854e-25,1.8957170191248543e-25,-0.06% ❤️🡇,1.864690925419613e-25,-1.69% 🟢🡇,1.9251768780734283e-25,1.49% 🟢🡅
C6H6,1.2970470653694916e-25,1.2962727996891295e-25,-0.06% ❤️🡇,1.2769197845690413e-25,-1.55% 🟢🡇,1.31836769390056e-25,1.64% 🟢🡅
CH3COOH,9.971869206192385e-26,9.968239720305037e-26,-0.04% ❤️🡇,9.821197651734433e-26,-1.51% 🟢🡇,1.0140088897505051e-25,1.69% 🟢🡅
H2SO4,1.6286401116934371e-25,1.6268857021929205e-25,-0.11% ❤️🡇,1.6042149261598773e-25,-1.50% 🟢🡇,1.6563455611414942e-25,1.70% 🟢🡅
C12H22O11,5.684025226936077e-25,5.681841984162023e-25,-0.04% ❤️🡇,5.598265551282689e-25,-1.51% 🟢🡇,5.780041513990603e-25,1.69% 🟢🡅
C8H10N4O2,3.224600814544893e-25,3.223411986020545e-25,-0.04% ❤️🡇,3.1767393866043854e-25,-1.48% 🟢🡇,3.2798767156719783e-25,1.71% 🟢🡅
