file,relative_path,input_format_detected,knot_id,harmonics_N,closure_error,length_series_units,writhe,crossing_est,sigma,sigma_source,hyperbolic_volume_meta,type_meta,chiral_meta,bbox_diag,rms_radius,fit_source_txt_found,fit_source_txt_path,fit_rms_raw_vs_fs,fit_max_raw_vs_fs,fit_rel_bbox,fit_rel_length,fit_best_shift,fit_rotation_det,fit_scale_used
knot_0.2.1.fseries,knot_0.2.1\knot_0.2.1.fseries,fseries,0_2_1,100,2.0350724194510405e-15,109.58795208505698,-1.065160850153693,2,-1.0,writhe_fallback,,,,25.725834514030193,8.969907895042764,True,knot_0.2.1\knot_0.2.1.txt,4.491130322746001,8.693511084985804,0.17733004463407326,0.04159857768999997,99,1.0000000000000002,1.0
knot_0.2.1_ideal.txt,knot_0.2.1\knot_0.2.1_ideal.txt,ideal,0_2_1,100,2.0350724194510405e-15,109.58795208505698,-1.065160850153693,2,-1.0,writhe_fallback,,,,25.725834514030193,8.969907895042764,True,knot_0.2.1\knot_0.2.1.txt,4.491130322746001,8.693511084985804,0.17733004463407326,0.04159857768999997,99,1.0000000000000002,1.0
knot_0.3.1.fseries,knot_0.3.1\knot_0.3.1.fseries,fseries,0_3_1,100,6.52013858905055e-15,132.6787851785274,-0.006148271119401362,8,-1.0,writhe_fallback,,,,43.84433024632142,13.411742043239991,True,knot_0.3.1\knot_0.3.1.txt,7.270573529888399,17.07040137336254,0.1688020519451754,0.05702689793565937,146,0.9999999999999999,1.0
knot_0.3.1_ideal.txt,knot_0.3.1\knot_0.3.1_ideal.txt,ideal,0_3_1,100,6.52013858905055e-15,132.6787851785274,-0.006148271119401362,8,-1.0,writhe_fallback,,,,43.84433024632142,13.411742043239991,True,knot_0.3.1\knot_0.3.1.txt,7.270573529888399,17.07040137336254,0.1688020519451754,0.05702689793565937,146,0.9999999999999999,1.0
knot_10.123.fseries,knot_10.123\knot_10.123.fseries,fseries,10_123,100,8.728543835258307e-15,157.69205862984276,0.04262771284205947,12,1.0,writhe_fallback,,,,22.726534335723812,6.608096983031153,True,knot_10.123\knot_10.123.txt,0.39860596384001445,0.8575100502559647,0.01753921829589953,0.002527738062791123,5,0.9999999999999996,1.0
knot_10.123_ideal.txt,knot_10.123\knot_10.123_ideal.txt,ideal,10_123,100,8.728543835258307e-15,157.69205862984276,0.04262771284205947,12,1.0,writhe_fallback,,,,22.726534335723812,6.608096983031153,True,knot_10.123\knot_10.123.txt,0.39860596384001445,0.8575100502559647,0.01753921829589953,0.002527738062791123,5,0.9999999999999996,1.0
knot_10.1.fseries,knot_10.1\knot_10.1.fseries,fseries,10_1,100,8.263520563790825e-15,152.33893900074327,3.6590192209085743,11,1.0,writhe_fallback,,,,27.207442277284866,7.276245652979444,True,knot_10.1\knot_10.1.txt,0.4498639779294151,0.7836054749207233,0.016534992280763345,0.0029546871250352665,5,1.0000000000000002,1.0
knot_10.1_ideal.txt,knot_10.1\knot_10.1_ideal.txt,ideal,10_1,100,8.263520563790825e-15,152.33893900074327,3.6590192209085743,11,1.0,writhe_fallback,,,,27.207442277284866,7.276245652979444,True,knot_10.1\knot_10.1.txt,0.4498639779294151,0.7836054749207233,0.016534992280763345,0.0029546871250352665,5,1.0000000000000002,1.0
knot_2.2.1.fseries,knot_2.2.1\knot_2.2.1.fseries,fseries,2_2_1,100,1.538370149106851e-15,99.07692820310739,1.453667217476184,3,1.0,writhe_fallback,,,,24.407364867448305,7.155126364876013,True,knot_2.2.1\knot_2.2.1.txt,2.985007716222332,5.131267409070091,0.12231859572833334,0.03024073513126655,52,1.0000000000000004,1.0
knot_2.2.1_ideal.txt,knot_2.2.1\knot_2.2.1_ideal.txt,ideal,2_2_1,100,1.538370149106851e-15,99.07692820310739,1.453667217476184,3,1.0,writhe_fallback,,,,24.407364867448305,7.155126364876013,True,knot_2.2.1\knot_2.2.1.txt,2.985007716222332,5.131267409070091,0.12231859572833334,0.03024073513126655,52,1.0000000000000004,1.0
knot_3.1.fseries,knot_3.1\knot_3.1.fseries,fseries,3_1,100,2.4525628233156873e-15,57.0069477144071,3.3725391599322694,3,1.0,writhe_fallback,,,,14.759811195345963,4.331288513858181,True,knot_3.1\knot_3.1.txt,0.4215362578655121,0.9150693034071578,0.02851952439126358,0.007394542600624042,17,0.9999999999999994,1.0
knot_3.1_ideal.txt,knot_3.1\knot_3.1_ideal.txt,ideal,3_1,100,2.4525628233156873e-15,57.0069477144071,3.3725391599322694,3,1.0,writhe_fallback,,,,14.759811195345963,4.331288513858181,True,knot_3.1\knot_3.1.txt,0.4215362578655121,0.9150693034071578,0.02851952439126358,0.007394542600624042,17,0.9999999999999994,1.0
knot_4.1.fseries,knot_4.1\knot_4.1.fseries,fseries,4_1,100,3.1086244689504383e-15,82.18879026426585,-0.0030673530555624345,4,0.0,writhe_fallback,,,,19.26190953774016,5.393138078307526,True,knot_4.1\knot_4.1.txt,0.332335575236474,0.8409793087852505,0.017255225194180258,0.004043659758067744,758,1.0000000000000016,1.0
knot_4.1_ideal.txt,knot_4.1\knot_4.1_ideal.txt,ideal,4_1,100,3.1086244689504383e-15,82.18879026426585,-0.0030673530555624345,4,0.0,writhe_fallback,,,,19.26190953774016,5.393138078307526,True,knot_4.1\knot_4.1.txt,0.332335575236474,0.8409793087852505,0.017255225194180258,0.004043659758067744,758,1.0000000000000016,1.0
knot_4.2.1.fseries,knot_4.2.1\knot_4.2.1.fseries,fseries,4_2_1,100,2.975450782882097e-15,114.90304299053389,-3.5854023170870244,6,-1.0,writhe_fallback,,,,25.319550968873084,6.624820679573715,True,knot_4.2.1\knot_4.2.1.txt,2.305178495042742,6.218640663516382,0.09207906657381731,0.02023807209441107,805,0.9999999999999993,1.0
knot_4.2.1_ideal.txt,knot_4.2.1\knot_4.2.1_ideal.txt,ideal,4_2_1,100,2.975450782882097e-15,114.90304299053389,-3.5854023170870244,6,-1.0,writhe_fallback,,,,25.319550968873084,6.624820679573715,True,knot_4.2.1\knot_4.2.1.txt,2.305178495042742,6.218640663516382,0.09207906657381731,0.02023807209441107,805,0.9999999999999993,1.0
knot_5.1.fseries,knot_5.1\knot_5.1.fseries,fseries,5_1,100,3.688882027804963e-15,84.18497548443696,6.12780141903554,5,1.0,writhe_fallback,,,,19.925570966085406,5.384368815029098,True,knot_5.1\knot_5.1.txt,0.37219331942136025,0.885018879526996,0.018648839289347952,0.004421558741274908,11,0.999999999999999,1.0
knot_5.1_ideal.txt,knot_5.1\knot_5.1_ideal.txt,ideal,5_1,100,3.688882027804963e-15,84.18497548443696,6.12780141903554,5,1.0,writhe_fallback,,,,19.925570966085406,5.384368815029098,True,knot_5.1\knot_5.1.txt,0.37219331942136025,0.885018879526996,0.018648839289347952,0.004421558741274908,11,0.999999999999999,1.0
knot_5.2.1.fseries,knot_5.2.1\knot_5.2.1.fseries,fseries,5_2_1,100,4.725952219296117e-15,104.30579902405988,0.4401975627750085,6,1.0,writhe_fallback,,,,22.493293612249072,5.828450483620395,True,knot_5.2.1\knot_5.2.1.txt,1.7173189741145747,3.085329989124271,0.07661240138613219,0.016507818961951314,23,0.9999999999999998,1.0
knot_5.2.1_ideal.txt,knot_5.2.1\knot_5.2.1_ideal.txt,ideal,5_2_1,100,4.725952219296117e-15,104.30579902405988,0.4401975627750085,6,1.0,writhe_fallback,,,,22.493293612249072,5.828450483620395,True,knot_5.2.1\knot_5.2.1.txt,1.7173189741145747,3.085329989124271,0.07661240138613219,0.016507818961951314,23,0.9999999999999998,1.0
knot_5.2.fseries,knot_5.2\knot_5.2.fseries,fseries,5_2,100,4.5288390936029406e-15,96.78292815701381,4.602471614086812,6,1.0,writhe_fallback,,,,22.82149257908559,5.9766994336758845,True,knot_5.2\knot_5.2.txt,0.45488410983317673,0.9383117942078744,0.019948779807708598,0.004701194749090567,5,1.0,1.0
knot_5.2_ideal.txt,knot_5.2\knot_5.2_ideal.txt,ideal,5_2,100,4.5288390936029406e-15,96.78292815701381,4.602471614086812,6,1.0,writhe_fallback,,,,22.82149257908559,5.9766994336758845,True,knot_5.2\knot_5.2.txt,0.45488410983317673,0.9383117942078744,0.019948779807708598,0.004701194749090567,5,1.0,1.0
knot_6.1.fseries,knot_6.1\knot_6.1.fseries,fseries,6_1,100,3.5038047658940695e-15,114.39697947735063,1.2309552709480258,7,1.0,writhe_fallback,,,,23.820933644278202,6.651833709396503,True,knot_6.1\knot_6.1.txt,0.4923343943555389,0.8991382280174609,0.020665984224675492,0.0043038999996484785,5,1.0,1.0
knot_6.1_ideal.txt,knot_6.1\knot_6.1_ideal.txt,ideal,6_1,100,3.5038047658940695e-15,114.39697947735063,1.2309552709480258,7,1.0,writhe_fallback,,,,23.820933644278202,6.651833709396503,True,knot_6.1\knot_6.1.txt,0.4923343943555389,0.8991382280174609,0.020665984224675492,0.0043038999996484785,5,1.0,1.0
knot_6.2.1.fseries,knot_6.2.1\knot_6.2.1.fseries,fseries,6_2_1,100,6.237042840057389e-15,136.24785304398964,6.333929063591331,8,1.0,writhe_fallback,,,,24.07734171614525,7.026270545501264,True,knot_6.2.1\knot_6.2.1.txt,2.4698677795900976,4.143839096594404,0.10264715209686505,0.01823456849331691,35,1.0000000000000004,1.0
knot_6.2.1_ideal.txt,knot_6.2.1\knot_6.2.1_ideal.txt,ideal,6_2_1,100,6.237042840057389e-15,136.24785304398964,6.333929063591331,8,1.0,writhe_fallback,,,,24.07734171614525,7.026270545501264,True,knot_6.2.1\knot_6.2.1.txt,2.4698677795900976,4.143839096594404,0.10264715209686505,0.01823456849331691,35,1.0000000000000004,1.0
knot_6.2.fseries,knot_6.2\knot_6.2.fseries,fseries,6_2,100,4.425600203637969e-15,100.43649513455651,2.739172950559971,6,1.0,writhe_fallback,,,,20.316558948758086,5.615876592995824,True,knot_6.2\knot_6.2.txt,0.4072821733997847,0.9064075651393674,0.020068971923476946,0.004056090836210927,11,0.9999999999999996,1.0
knot_6.2_ideal.txt,knot_6.2\knot_6.2_ideal.txt,ideal,6_2,100,4.425600203637969e-15,100.43649513455651,2.739172950559971,6,1.0,writhe_fallback,,,,20.316558948758086,5.615876592995824,True,knot_6.2\knot_6.2.txt,0.4072821733997847,0.9064075651393674,0.020068971923476946,0.004056090836210927,11,0.9999999999999996,1.0
knot_6.3.1.fseries,knot_6.3.1\knot_6.3.1.fseries,fseries,6_3_1,100,4.6629367034256575e-15,134.9944544932001,-2.731098375171786,7,-1.0,writhe_fallback,,,,22.430965237034727,6.201125853292197,True,knot_6.3.1\knot_6.3.1.txt,2.3137479683076885,4.333658321108405,0.10314599304767219,0.0171572581672896,29,1.0,1.0
knot_6.3.1_ideal.txt,knot_6.3.1\knot_6.3.1_ideal.txt,ideal,6_3_1,100,4.6629367034256575e-15,134.9944544932001,-2.731098375171786,7,-1.0,writhe_fallback,,,,22.430965237034727,6.201125853292197,True,knot_6.3.1\knot_6.3.1.txt,2.3137479683076885,4.333658321108405,0.10314599304767219,0.0171572581672896,29,1.0,1.0
knot_6.3.2.fseries,knot_6.3.2\knot_6.3.2.fseries,fseries,6_3_2,100,9.524652439874977e-15,150.73621632012814,-2.499102660380486,13,-1.0,writhe_fallback,,,,21.922598177544373,6.263844318363542,True,knot_6.3.2\knot_6.3.2.txt,1.5341245408545972,2.749271330678796,0.06998777215356607,0.010196898471971767,17,1.0,1.0
knot_6.3.2_ideal.txt,knot_6.3.2\knot_6.3.2_ideal.txt,ideal,6_3_2,100,9.524652439874977e-15,150.73621632012814,-2.499102660380486,13,-1.0,writhe_fallback,,,,21.922598177544373,6.263844318363542,True,knot_6.3.2\knot_6.3.2.txt,1.5341245408545972,2.749271330678796,0.06998777215356607,0.010196898471971767,17,1.0,1.0
knot_6.3.3.fseries,knot_6.3.3\knot_6.3.3.fseries,fseries,6_3_3,100,6.097136226011371e-15,140.71496309479136,-0.04378543155173601,9,-1.0,writhe_fallback,,,,24.022343853397338,6.409112422069929,True,knot_6.3.3\knot_6.3.3.txt,2.4166922254655425,4.221224738514701,0.10061020100734658,0.017245059538183848,29,0.9999999999999996,1.0
knot_6.3.3_ideal.txt,knot_6.3.3\knot_6.3.3_ideal.txt,ideal,6_3_3,100,6.097136226011371e-15,140.71496309479136,-0.04378543155173601,9,-1.0,writhe_fallback,,,,24.022343853397338,6.409112422069929,True,knot_6.3.3\knot_6.3.3.txt,2.4166922254655425,4.221224738514701,0.10061020100734658,0.017245059538183848,29,0.9999999999999996,1.0
knot_6.3.fseries,knot_6.3\knot_6.3.fseries,fseries,6_3,100,4.965068306494546e-15,103.70796027837312,0.018828159665689962,7,1.0,writhe_fallback,,,,21.09634683208865,5.618046787762603,True,knot_6.3\knot_6.3.txt,0.4885925678758166,0.9571068946474264,0.02316004785612226,0.004711902521229293,11,1.0000000000000007,1.0
knot_6.3_ideal.txt,knot_6.3\knot_6.3_ideal.txt,ideal,6_3,100,4.965068306494546e-15,103.70796027837312,0.018828159665689962,7,1.0,writhe_fallback,,,,21.09634683208865,5.618046787762603,True,knot_6.3\knot_6.3.txt,0.4885925678758166,0.9571068946474264,0.02316004785612226,0.004711902521229293,11,1.0000000000000007,1.0
knot_7.1.fseries,knot_7.1\knot_7.1.fseries,fseries,7_1,100,4.351167857633658e-15,114.28015312042909,8.878286234688932,8,1.0,writhe_fallback,,,,24.34484274019422,6.61357841455559,True,knot_7.1\knot_7.1.txt,0.4458026937728889,0.8254097358927629,0.018334716391346987,0.003901747244728806,5,0.9999999999999997,1.0
knot_7.1_ideal.txt,knot_7.1\knot_7.1_ideal.txt,ideal,7_1,100,4.351167857633658e-15,114.28015312042909,8.878286234688932,8,1.0,writhe_fallback,,,,24.34484274019422,6.61357841455559,True,knot_7.1\knot_7.1.txt,0.4458026937728889,0.8254097358927629,0.018334716391346987,0.003901747244728806,5,0.9999999999999997,1.0
knot_7.2.5.fseries,knot_7.2.5\knot_7.2.5.fseries,fseries,7_2_5,100,3.972054645195637e-15,153.97311692949708,8.32853065266042,11,1.0,writhe_fallback,,,,25.191255525935105,6.930128114267546,True,knot_7.2.5\knot_7.2.5.txt,3.7764922163807424,7.414004628935362,0.15020243025034385,0.024672785537318963,47,0.9999999999999993,1.0
knot_7.2.5_ideal.txt,knot_7.2.5\knot_7.2.5_ideal.txt,ideal,7_2_5,100,3.972054645195637e-15,153.97311692949708,8.32853065266042,11,1.0,writhe_fallback,,,,25.191255525935105,6.930128114267546,True,knot_7.2.5\knot_7.2.5.txt,3.7764922163807424,7.414004628935362,0.15020243025034385,0.024672785537318963,47,0.9999999999999993,1.0
knot_7.2.6.fseries,knot_7.2.6\knot_7.2.6.fseries,fseries,7_2_6,100,6.209313709475223e-15,139.43834115084567,0.4336735042023194,12,1.0,writhe_fallback,,,,22.880599696536475,6.053417014622692,True,knot_7.2.6\knot_7.2.6.txt,2.806736352695135,4.553688107363534,0.1227034220230583,0.02018002075201942,29,1.0,1.0
knot_7.2.6_ideal.txt,knot_7.2.6\knot_7.2.6_ideal.txt,ideal,7_2_6,100,6.209313709475223e-15,139.43834115084567,0.4336735042023194,12,1.0,writhe_fallback,,,,22.880599696536475,6.053417014622692,True,knot_7.2.6\knot_7.2.6.txt,2.806736352695135,4.553688107363534,0.1227034220230583,0.02018002075201942,29,1.0,1.0
knot_7.2.8.fseries,knot_7.2.8\knot_7.2.8.fseries,fseries,7_2_8,100,5.634860374059478e-15,164.86911770013765,3.4880987384582456,12,1.0,writhe_fallback,,,,29.50492677092299,7.157002930020167,True,knot_7.2.8\knot_7.2.8.txt,5.646991427380195,10.5391136385452,0.19513601246292134,0.034675497651885656,47,1.0000000000000004,1.0
knot_7.2.8_ideal.txt,knot_7.2.8\knot_7.2.8_ideal.txt,ideal,7_2_8,100,5.634860374059478e-15,164.86911770013765,3.4880987384582456,12,1.0,writhe_fallback,,,,29.50492677092299,7.157002930020167,True,knot_7.2.8\knot_7.2.8.txt,5.646991427380195,10.5391136385452,0.19513601246292134,0.034675497651885656,47,1.0000000000000004,1.0
