ratio_R_over_r,R_t,r_t,N,L_K_dimless,d_min_dimless,xi,Gamma_0,lam_K,p_exp,A_K,A_K_spread,A_K_global,a_K,A_over_Areq,L_natural_m,L_K_phys_m,d_min_phys_m,a0_m,a_star_m,is_minimum,d2E,a_star_over_rc,chi_eff,chi_eff_over_chireq,gamma_required_for_rc,gamma_required_ratio_vs_canonical,barrier_shift_frac,A_method,a_scan_min,a_scan_max
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,0.8,7.746895362791101e-09,0.01,2,0.07958291953669067,,0.07958291953669067,-0.2368303621975342,1.00006846147078,7.08225653631866e-15,2.1266980939569727e-13,7.561900858053964e-15,1.1272147194076916e-15,1.0994228679848348e-15,True,1.2259533311352134e-06,0.7803024445754126,0.1552362389510833,0.975378055719266,9.928067529003362e-09,1.0252434880366232,-0.02465533047462365,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,0.8,9.683619203488876e-09,0.01,2,0.07958291953669067,,0.07958291953669067,-0.2368303621975342,1.00006846147078,8.852820670398324e-15,2.6583726174462157e-13,9.452376072567455e-15,1.4090183992596143e-15,1.3742785849810429e-15,True,1.532441663923027e-06,0.9753780557192654,0.1552362389510832,0.9753780557192654,9.928067529003367e-09,1.0252434880366237,-0.024655330474623982,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,0.8,1.1620343044186651e-08,0.01,2,0.07958291953669067,,0.07958291953669067,-0.2368303621975342,1.00006846147078,1.0623384804477989e-14,3.190047140935459e-13,1.1342851287080945e-14,1.690822079111537e-15,1.6491343019772458e-15,True,1.8389299966912444e-06,1.1704536668631145,0.15523623895108268,0.9753780557192621,9.928067529003402e-09,1.0252434880366272,-0.0246553304746272,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.0,7.746895362791101e-09,0.01,2,0.07861882200257565,,0.07861882200257565,-0.2497310220605376,0.987953254548701,7.08225653631866e-15,2.1266980939569727e-13,7.561900858053964e-15,1.1203661623575909e-15,1.0994228679848348e-15,True,1.2188272509819924e-06,0.7803024445754126,0.1552362389510833,0.975378055719266,9.928067529003362e-09,1.0252434880366232,-0.018693258576004346,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.0,9.683619203488876e-09,0.01,2,0.07861882200257565,,0.07861882200257565,-0.2497310220605376,0.987953254548701,8.852820670398324e-15,2.6583726174462157e-13,9.452376072567455e-15,1.4004577029469886e-15,1.3742785849810429e-15,True,1.5235340638191744e-06,0.9753780557192654,0.1552362389510832,0.9753780557192654,9.928067529003367e-09,1.0252434880366237,-0.01869325857600479,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.0,1.1620343044186651e-08,0.01,2,0.07861882200257565,,0.07861882200257565,-0.2497310220605376,0.987953254548701,1.0623384804477989e-14,3.190047140935459e-13,1.1342851287080945e-14,1.6805492435363861e-15,1.6491343019772458e-15,True,1.8282408764685407e-06,1.1704536668631145,0.15523623895108268,0.9753780557192621,9.928067529003402e-09,1.0252434880366272,-0.01869325857600801,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.2,7.746895362791101e-09,0.01,2,0.0793283575985911,,0.0793283575985911,-0.2673622688696705,0.9968695418123112,7.08225653631866e-15,2.1266980939569727e-13,7.561900858053964e-15,1.1254104641944612e-15,1.0994228679848348e-15,True,1.224071748916904e-06,0.7803024445754126,0.1552362389510833,0.975378055719266,9.928067529003362e-09,1.0252434880366232,-0.023091660364316646,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.2,9.683619203488876e-09,0.01,2,0.0793283575985911,,0.0793283575985911,-0.2673622688696705,0.9968695418123112,8.852820670398324e-15,2.6583726174462157e-13,9.452376072567455e-15,1.4067630802430765e-15,1.3742785849810429e-15,True,1.5300896862014613e-06,0.9753780557192654,0.1552362389510832,0.9753780557192654,9.928067529003367e-09,1.0252434880366237,-0.02309166036431709,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.2,1.1620343044186651e-08,0.01,2,0.0793283575985911,,0.0793283575985911,-0.2673622688696705,0.9968695418123112,1.0623384804477989e-14,3.190047140935459e-13,1.1342851287080945e-14,1.6881156962916918e-15,1.6491343019772458e-15,True,1.8361076233067567e-06,1.1704536668631145,0.15523623895108268,0.9753780557192621,9.928067529003402e-09,1.0252434880366272,-0.02309166036432042,global-fit-fallback,0.14721371700567357,0.37370367576301006
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,0.8,7.746895362791101e-09,0.01,2,0.07868830446273826,,0.07868830446273826,-0.22663688844143928,0.9888263968943019,7.08225653631866e-15,2.2590492083361454e-13,8.056970978308103e-15,1.1208611367354822e-15,1.0969410778014526e-15,True,1.2794450170502573e-06,0.7785410231938782,0.15488581530140957,0.9731762789923477,9.950529428764488e-09,1.0275630649725929,-0.021340787141301942,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,0.8,9.683619203488876e-09,0.01,2,0.07868830446273826,,0.07868830446273826,-0.22663688844143928,0.9888263968943019,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.4010764209193526e-15,1.371176347251815e-15,True,1.599306271184229e-06,0.9731762789923473,0.1548858153014095,0.9731762789923473,9.950529428764494e-09,1.0275630649725935,-0.021340787141302275,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,0.8,1.1620343044186651e-08,0.01,2,0.07868830446273826,,0.07868830446273826,-0.22663688844143928,0.9888263968943019,1.0623384804477989e-14,3.388573812504218e-13,1.2085456467462154e-14,1.681291705103223e-15,1.6454116167021792e-15,True,1.919167525514661e-06,1.1678115347908176,0.15488581530140963,0.973176278992348,9.950529428764484e-09,1.0275630649725924,-0.02134078714130161,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,7.746895362791101e-09,0.01,2,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,7.08225653631866e-15,2.2590492083361454e-13,8.056970978308103e-15,1.1208398076423144e-15,1.0969410778014526e-15,True,1.2794213976676754e-06,0.7785410231938782,0.15488581530140957,0.9731762789923477,9.950529428764488e-09,1.0275630649725929,-0.021322163682901962,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,9.683619203488876e-09,0.01,2,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.401049759552893e-15,1.371176347251815e-15,True,1.5992767469067075e-06,0.9731762789923473,0.1548858153014095,0.9731762789923473,9.950529428764494e-09,1.0275630649725935,-0.021322163682902406,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,1.1620343044186651e-08,0.01,2,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,1.0623384804477989e-14,3.388573812504218e-13,1.2085456467462154e-14,1.6812597114634714e-15,1.6454116167021792e-15,True,1.919132096447932e-06,1.1678115347908176,0.15488581530140963,0.973176278992348,9.950529428764484e-09,1.0275630649725924,-0.02132216368290174,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.2,7.746895362791101e-09,0.01,2,0.07908495370154699,,0.07908495370154699,-0.2602929284950344,0.9938108382330757,7.08225653631866e-15,2.2590492083361454e-13,8.056970978308103e-15,1.1236825843482389e-15,1.0969410778014526e-15,True,1.282573394446565e-06,0.7785410231938782,0.15488581530140957,0.9731762789923477,9.950529428764488e-09,1.0275630649725929,-0.023798096472498864,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.2,9.683619203488876e-09,0.01,2,0.07908495370154699,,0.07908495370154699,-0.2602929284950344,0.9938108382330757,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.4046032304352986e-15,1.371176347251815e-15,True,1.6032167428781761e-06,0.9731762789923473,0.1548858153014095,0.9731762789923473,9.950529428764494e-09,1.0275630649725935,-0.023798096472499308,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.2,1.1620343044186651e-08,0.01,2,0.07908495370154699,,0.07908495370154699,-0.2602929284950344,0.9938108382330757,1.0623384804477989e-14,3.388573812504218e-13,1.2085456467462154e-14,1.6855238765223583e-15,1.6454116167021792e-15,True,1.9238600915519695e-06,1.1678115347908176,0.15488581530140963,0.973176278992348,9.950529428764484e-09,1.0275630649725924,-0.023798096472498753,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.2,2.2,1.0,600,33.858233852063435,1.2161062758864813,0.8,7.746895362791101e-09,0.01,2,0.07830134772523414,,0.07830134772523414,-0.21861404433339607,0.9839637551191017,7.08225653631866e-15,2.39792698006982e-13,8.612776621255176e-15,1.1181017730232564e-15,1.0980759968279384e-15,True,1.338374957354684e-06,0.7793465186192965,0.1550460635246511,0.9741831482741207,9.940245035694305e-09,1.0265010247524986,-0.017910512869655726,global-fit-fallback,0.16729645645129948,0.42563719656026844
2.2,2.2,1.0,600,33.858233852063435,1.2161062758864813,0.8,9.683619203488876e-09,0.01,2,0.07830134772523414,,0.07830134772523414,-0.21861404433339607,0.9839637551191017,8.852820670398324e-15,2.9974087250872747e-13,1.0765970776568969e-14,1.3976272162790706e-15,1.3725949960349226e-15,True,1.6729686966734173e-06,0.9741831482741203,0.15504606352465106,0.9741831482741202,9.940245035694308e-09,1.0265010247524988,-0.01791051286965617,global-fit-fallback,0.16729645645129948,0.42563719656026844
2.2,2.2,1.0,600,33.858233852063435,1.2161062758864813,0.8,1.1620343044186651e-08,0.01,2,0.07830134772523414,,0.07830134772523414,-0.21861404433339607,0.9839637551191017,1.0623384804477989e-14,3.5968904701047295e-13,1.2919164931882762e-14,1.6771526595348848e-15,1.647113995241908e-15,True,2.0075624361047303e-06,1.169019777928945,0.15504606352465117,0.974183148274121,9.940245035694301e-09,1.0265010247524982,-0.017910512869655615,global-fit-fallback,0.16729645645129948,0.42563719656026844
2.2,2.2,1.0,600,33.858233852063435,1.2161062758864813,1.0,7.746895362791101e-09,0.01,2,0.07876029861479555,,0.07876029861479555,-0.23819488621547433,0.9897311020911203,7.08225653631866e-15,2.39792698006982e-13,8.612776621255176e-15,1.1213737732604846e-15,1.0980759968279384e-15,True,1.3422092988941554e-06,0.7793465186192965,0.1550460635246511,0.9741831482741207,9.940245035694305e-09,1.0265010247524986,-0.020776102480804415,global-fit-fallback,0.16729645645129948,0.42563719656026844
2.2,2.2,1.0,600,33.858233852063435,1.2161062758864813,1.0,9.683619203488876e-09,0.01,2,0.07876029861479555,,0.07876029861479555,-0.23819488621547433,0.9897311020911203,8.852820670398324e-15,2.9974087250872747e-13,1.0765970776568969e-14,1.4017172165756056e-15,1.3725949960349226e-15,True,1.6777616235313856e-06,0.9741831482741203,0.15504606352465106,0.9741831482741202,9.940245035694308e-09,1.0265010247524988,-0.020776102480804637,global-fit-fallback,0.16729645645129948,0.42563719656026844
2.2,2.2,1.0,600,33.858233852063435,1.2161062758864813,1.0,1.1620343044186651e-08,0.01,2,0.07876029861479555,,0.07876029861479555,-0.23819488621547433,0.9897311020911203,1.0623384804477989e-14,3.5968904701047295e-13,1.2919164931882762e-14,1.6820606598907268e-15,1.647113995241908e-15,True,2.0133139484210745e-06,1.169019777928945,0.15504606352465117,0.974183148274121,9.940245035694301e-09,1.0265010247524982,-0.02077610248080408,global-fit-fallback,0.16729645645129948,0.42563719656026844
2.2,2.2,1.0,600,33.858233852063435,1.2161062758864813,1.2,7.746895362791101e-09,0.01,2,0.07888303636881407,,0.07888303636881407,-0.2532356198961388,0.9912734701964909,7.08225653631866e-15,2.39792698006982e-13,8.612776621255176e-15,1.1222471912194809e-15,1.0980759968279384e-15,True,1.3432347211844475e-06,0.7793465186192965,0.1550460635246511,0.9741831482741207,9.940245035694305e-09,1.0265010247524986,-0.021538208855107044,global-fit-fallback,0.16729645645129948,0.42563719656026844
2.2,2.2,1.0,600,33.858233852063435,1.2161062758864813,1.2,9.683619203488876e-09,0.01,2,0.07888303636881407,,0.07888303636881407,-0.2532356198961388,0.9912734701964909,8.852820670398324e-15,2.9974087250872747e-13,1.0765970776568969e-14,1.402808989024351e-15,1.3725949960349226e-15,True,1.6790434013578536e-06,0.9741831482741203,0.15504606352465106,0.9741831482741202,9.940245035694308e-09,1.0265010247524988,-0.021538208855107377,global-fit-fallback,0.16729645645129948,0.42563719656026844
2.2,2.2,1.0,600,33.858233852063435,1.2161062758864813,1.2,1.1620343044186651e-08,0.01,2,0.07888303636881407,,0.07888303636881407,-0.2532356198961388,0.9912734701964909,1.0623384804477989e-14,3.5968904701047295e-13,1.2919164931882762e-14,1.6833707868292212e-15,1.647113995241908e-15,True,2.014852081849376e-06,1.169019777928945,0.15504606352465117,0.974183148274121,9.940245035694301e-09,1.0265010247524982,-0.02153820885510671,global-fit-fallback,0.16729645645129948,0.42563719656026844
2.5,2.5,1.0,600,36.938393188145525,1.3465830926043532,0.8,7.746895362791101e-09,0.01,2,0.07849740758287173,,0.07849740758287173,-0.21052452417911774,0.9864275159527741,7.08225653631866e-15,2.616071765978523e-13,9.536846909293376e-15,1.1195007133258672e-15,1.1018198612667484e-15,True,1.4394010264450369e-06,0.782003682353863,0.1555746894533521,0.9775046029423288,9.906469160698361e-09,1.0230130855547475,-0.015793515670563196,global-fit-fallback,0.18317834613085965,0.47130408241152355
2.5,2.5,1.0,600,36.938393188145525,1.3465830926043532,0.8,9.683619203488876e-09,0.01,2,0.07849740758287173,,0.07849740758287173,-0.21052452417911774,0.9864275159527741,8.852820670398324e-15,3.270089707473154e-13,1.1921058636616719e-14,1.3993758916573337e-15,1.377274826583435e-15,True,1.7992512829378082e-06,0.9775046029423284,0.15557468945335204,0.9775046029423284,9.906469160698365e-09,1.023013085554748,-0.015793515670563307,global-fit-fallback,0.18317834613085965,0.47130408241152355
2.5,2.5,1.0,600,36.938393188145525,1.3465830926043532,0.8,1.1620343044186651e-08,0.01,2,0.07849740758287173,,0.07849740758287173,-0.21052452417911774,0.9864275159527741,1.0623384804477989e-14,3.924107648967784e-13,1.430527036394006e-14,1.6792510699888006e-15,1.652729791900123e-15,True,2.159101539624658e-06,1.1730055235307948,0.15557468945335212,0.977504602942329,9.90646916069836e-09,1.0230130855547472,-0.015793515670562863,global-fit-fallback,0.18317834613085965,0.47130408241152355
2.5,2.5,1.0,600,36.938393188145525,1.3465830926043532,1.0,7.746895362791101e-09,0.01,2,0.07929403929039323,,0.07929403929039323,-0.23182459520555532,0.9964382852326391,7.08225653631866e-15,2.616071765978523e-13,9.536846909293376e-15,1.1251670054722195e-15,1.1018198612667484e-15,True,1.4466127566113943e-06,0.782003682353863,0.1555746894533521,0.9775046029423288,9.906469160698361e-09,1.0230130855547475,-0.02074993675776393,global-fit-fallback,0.18317834613085965,0.47130408241152355
2.5,2.5,1.0,600,36.938393188145525,1.3465830926043532,1.0,9.683619203488876e-09,0.01,2,0.07929403929039323,,0.07929403929039323,-0.23182459520555532,0.9964382852326391,8.852820670398324e-15,3.270089707473154e-13,1.1921058636616719e-14,1.4064587568402744e-15,1.377274826583435e-15,True,1.8082659456372199e-06,0.9775046029423284,0.15557468945335204,0.9775046029423284,9.906469160698365e-09,1.023013085554748,-0.020749936757764265,global-fit-fallback,0.18317834613085965,0.47130408241152355
2.5,2.5,1.0,600,36.938393188145525,1.3465830926043532,1.0,1.1620343044186651e-08,0.01,2,0.07929403929039323,,0.07929403929039323,-0.23182459520555532,0.9964382852326391,1.0623384804477989e-14,3.924107648967784e-13,1.430527036394006e-14,1.6877505082083292e-15,1.652729791900123e-15,True,2.169919134845744e-06,1.1730055235307948,0.15557468945335212,0.977504602942329,9.90646916069836e-09,1.0230130855547472,-0.0207499367577636,global-fit-fallback,0.18317834613085965,0.47130408241152355
2.5,2.5,1.0,600,36.938393188145525,1.3465830926043532,1.2,7.746895362791101e-09,0.01,2,0.07947369337492845,,0.07947369337492845,-0.24702831135629438,0.998695885041292,7.08225653631866e-15,2.616071765978523e-13,9.536846909293376e-15,1.126440912587808e-15,1.1018198612667484e-15,True,1.4482391251893152e-06,0.782003682353863,0.1555746894533521,0.9775046029423288,9.906469160698361e-09,1.0230130855547475,-0.021857383770354066,global-fit-fallback,0.18317834613085965,0.47130408241152355
2.5,2.5,1.0,600,36.938393188145525,1.3465830926043532,1.2,9.683619203488876e-09,0.01,2,0.07947369337492845,,0.07947369337492845,-0.24702831135629438,0.998695885041292,8.852820670398324e-15,3.270089707473154e-13,1.1921058636616719e-14,1.40805114073476e-15,1.377274826583435e-15,True,1.8102989063660223e-06,0.9775046029423284,0.15557468945335204,0.9775046029423284,9.906469160698365e-09,1.023013085554748,-0.02185738377035429,global-fit-fallback,0.18317834613085965,0.47130408241152355
2.5,2.5,1.0,600,36.938393188145525,1.3465830926043532,1.2,1.1620343044186651e-08,0.01,2,0.07947369337492845,,0.07947369337492845,-0.24702831135629438,0.998695885041292,1.0623384804477989e-14,3.924107648967784e-13,1.430527036394006e-14,1.6896613688817118e-15,1.652729791900123e-15,True,2.172358687733963e-06,1.1730055235307948,0.15557468945335212,0.977504602942329,9.90646916069836e-09,1.0230130855547472,-0.021857383770353844,global-fit-fallback,0.18317834613085965,0.47130408241152355
